" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"600320","Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of cotton","600220","Knitted or crocheted fabrics, =<30cm wide, non-"
"600330","Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of synthetic fibres","600220","Knitted or crocheted fabrics, =<30cm wide, non-"
"600340","Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of artificial fibres","600220","Knitted or crocheted fabrics, =<30cm wide, non-"
"600390","Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, other than of wool and fine animal hair, cotton, synthetic or artificial fibres","600220","Knitted or crocheted fabrics, =<30cm wide, non-"
"600410","Fabrics; knitted or crocheted fabrics of a width exceeding 30 cm, other than those of heading 60.01, containing by weight 5% or more of elastomeric yarn but not containing rubber thread","600230","Knitted or crocheted fabrics, >30cm wide, >=5%"
"600490","Fabrics; knitted or crocheted, other than those of heading 60.01, of a width exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread,","600230","Knitted or crocheted fabrics, >30cm wide, >=5%"
"600521","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached","600242","Fabrics, warp knit, of cotton"
"600522","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, dyed","600242","Fabrics, warp knit, of cotton"
"600523","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, yarns of different colours","600242","Fabrics, warp knit, of cotton"
"600524","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of cotton, printed","600242","Fabrics, warp knit, of cotton"
"600535","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres specified in Subheading Note 1 to this Chapter","600243","Fabrics, warp knit, of man-made fibres"
"600536","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, bleached or unbleached","600243","Fabrics, warp knit, of man-made fibres"
"600537","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, dyed","600243","Fabrics, warp knit, of man-made fibres"
"600538","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, yarns of different colours","600243","Fabrics, warp knit, of man-made fibres"
"600539","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of synthetic fibres, printed","600243","Fabrics, warp knit, of man-made fibres"
"600541","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, bleached or unbleached","600243","Fabrics, warp knit, of man-made fibres"
"600542","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, dyed","600243","Fabrics, warp knit, of man-made fibres"
"600543","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, of yarns of different colours","600243","Fabrics, warp knit, of man-made fibres"
"600544","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, of artificial fibres, printed","600243","Fabrics, warp knit, of man-made fibres"
"600590","Fabrics; warp knit (including those made on galloon knitting machines), other than those of headings 60.01 to 60.04, excluding those made from cotton or synthetic or artificial fibres","600249","Fabrics, warp knit, nes"
