" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"940131","940131 -- (2022) -- Seats; swivel with variable height adjustment of wood, excluding medical, surgical, dental, veterinary or barber furniture","940130","Swivel seats and variable height adjustment oth"
"940139","940139 -- (2022) -- Seats; swivel with variable height adjustment of other than wood, excluding medical, surgical, dental, veterinary or barber furniture","940130","Swivel seats and variable height adjustment oth"
"940140","940140 --  - Seats other than garden seats or camping equipment, convertible into beds","940140","Seats excluding garden seats or camping equipme"
"940141","940141 -- (2022) -- Seats; convertible into beds of wood, other than garden seats or camping equipment","940140","Seats excluding garden seats or camping equipme"
"940149","940149 -- (2022) -- Seats; convertible into beds of other than wood, other than garden seats or camping equipment","940140","Seats excluding garden seats or camping equipme"
"940150","940150 -- (-2006) - Seats of cane, osier, bamboo or similar materials","940150","Seats of cane, osier, bamboo or similar materia"
"940151","940151 -- (2007-2016) -- Of bamboo or rattan","940150","Seats of cane, osier, bamboo or similar materia"
"940159","940159 -- (2007-) -- Other","940150","Seats of cane, osier, bamboo or similar materia"
"940161","940161 --  -- Upholstered","940161","Seats with wooden frames,upholstered nes"
"940169","940169 --  -- Other","940169","Seats with wooden frames, nes"
"940171","940171 --  -- Upholstered","940171","Seats with mtl frames,upholstered nes,oth than"
"940179","940179 --  -- Other","940179","Seats with metal frames, nes, other than those"
"940180","940180 --  - Other seats","940180","Seats nes, other than those of heading No 94.02"
"940190","940190 --  - Parts","940190","Parts of seats other than those of heading No 9"
"940191","940191 -- (2022) -- Seats; parts, of wood, (other than for use in the assembly of motor vehicles as determined by the minister, other than automotive)","940190","Parts of seats other than those of heading No 9"
"940199","940199 -- (2022) -- Seats; parts, (of other than wood) for use in the assembly of motor vehicles as determined by the minister","940190","Parts of seats other than those of heading No 9"
"940210","940210 --  - Dentists', barbers' or similar chairs and parts thereof","940210","Dentists', barbers' or similar chairs and parts"
"940290","940290 --  - Other","940290","Medical, surgical, dental or veterinary furnitu"
"940310","940310 --  - Metal furniture of a kind used in offices","940310","Office furniture, metal, nes"
"940320","940320 --  - Other metal furniture","940320","Furniture, metal, nes"
"940330","940330 --  - Wooden furniture of a kind used in offices","940330","Office furniture, wooden, nes"
"940340","940340 --  - Wooden furniture of a kind used in the kitchen","940340","Kitchen furniture, wooden, nes"
"940350","940350 --  - Wooden furniture of a kind used in the bedroom","940350","Bedroom furniture, wooden, nes"
"940360","940360 --  - Other wooden furniture","940360","Furniture, wooden, nes"
"940370","940370 --  - Furniture of plastics","940370","Furniture, plastic, nes"
"940380","940380 -- (-2006) - Furniture of other materials, including cane, osier, bamboo or similar materials","940380","Furniture of oth materials,including cane,osier"
"940381","940381 -- (2007-2016) -- Of bamboo or rattan","940380","Furniture of oth materials,including cane,osier"
"940389","940389 -- (2007-) -- Other","940380","Furniture of oth materials,including cane,osier"
"940390","940390 --  - Parts","940390","Furniture parts nes"
